,title,author,num_rating,num_reviews,avg_rating,num_pages,original_publish_year,series,genres,award,place,url
151,Without Remorse,Tom Clancy,64833,1406,4.18,750,1994,True,"['Fiction', 'Thriller', 'Action', 'Spy Thriller Espionage', 'War Military Fiction', 'Suspense', 'Mystery', 'Adventure', 'Thriller Mystery Thriller', 'War']",0,United States,https://www.goodreads.com//book/show/19668.Without_Remorse
152,Wake,Amanda Hocking,22871,2437,3.69,309,2012,True,"['Fantasy', 'Young Adult', 'Mythology Mermaids', 'Fantasy Paranormal', 'Romance', 'Fantasy Mythology', 'Fiction', 'Fantasy Supernatural', 'Romance Paranormal Romance', 'Fantasy Urban Fantasy']",0,United States,https://www.goodreads.com//book/show/10586539-wake
153,Unfaithful,Elisa S. Amore,2648,209,4.32,0,2016,True,"['Fantasy Paranormal', 'Romance', 'Paranormal Angels', 'Young Adult', 'Fantasy', 'Fantasy Urban Fantasy', 'Romance Paranormal Romance', 'Young Adult Young Adult Fantasy', 'Fantasy Mythology']",0,,https://www.goodreads.com//book/show/29543118-unfaithful
154,Shadow of Night,Deborah Harkness,199451,16516,4.05,584,2012,True,"['Fantasy', 'Fiction', 'Romance', 'Fantasy Paranormal', 'Historical Historical Fiction', 'Paranormal Vampires', 'Paranormal Witches', 'Science Fiction Time Travel', 'Fantasy Magic', 'Fantasy Urban Fantasy']",1,United Kingdom,https://www.goodreads.com//book/show/11559200-shadow-of-night
155,Warbreaker,Brandon Sanderson,130091,9717,4.26,688,2009,True,"['Fantasy', 'Fiction', 'Fantasy High Fantasy', 'Fantasy Epic Fantasy', 'Adult', 'Audiobook', 'Fantasy Magic', 'Science Fiction Fantasy', 'Young Adult', 'Adventure']",1,,https://www.goodreads.com//book/show/1268479.Warbreaker
156,A Countess Below Stairs,Eva Ibbotson,19481,1915,3.88,383,2007,False,"['Historical Historical Fiction', 'Romance', 'Young Adult', 'Historical', 'Fiction', 'Romance Historical Romance', 'Young Adult Teen', 'Cultural Russia', 'Womens Fiction Chick Lit', 'European Literature British Literature']",0,,https://www.goodreads.com//book/show/714569.A_Countess_Below_Stairs
157,"The Good, the Bad, and the Undead",Kim Harrison,62703,1960,4.24,453,2005,True,"['Fantasy Urban Fantasy', 'Fantasy', 'Fantasy Paranormal', 'Paranormal Vampires', 'Paranormal Witches', 'Fantasy Magic', 'Fiction', 'Paranormal Demons', 'Fantasy Supernatural', 'Romance']",0,United States,https://www.goodreads.com//book/show/30262.The_Good_the_Bad_and_the_Undead
158,The Testing,Joelle Charbonneau,63824,6911,4.03,325,2013,True,"['Science Fiction Dystopia', 'Young Adult', 'Science Fiction', 'Fiction', 'Romance', 'Fantasy', 'Apocalyptic Post Apocalyptic', 'Adventure', 'Young Adult Teen', 'Adventure Survival']",4,,https://www.goodreads.com//book/show/13326831-the-testing
159,Rumors,Anna Godbersen,37993,1893,3.85,423,2008,True,"['Historical Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Fiction', 'Womens Fiction Chick Lit', 'Young Adult Teen', 'Romance Historical Romance', 'Drama', 'Literature 19th Century']",0,,https://www.goodreads.com//book/show/2218252.Rumors
160,Tiger's Quest,Colleen Houck,36986,2853,4.32,479,2011,True,"['Fantasy', 'Young Adult', 'Romance', 'Fantasy Mythology', 'Fantasy Paranormal', 'Fantasy Magic', 'Adventure', 'Fiction', 'Romance Paranormal Romance', 'Fantasy Urban Fantasy']",0,United States,https://www.goodreads.com//book/show/9662386-tiger-s-quest
161,Seven Up,Janet Evanovich,118280,2200,4.14,337,2002,True,"['Mystery', 'Fiction', 'Humor', 'Womens Fiction Chick Lit', 'Romance', 'Mystery Crime', 'Humor Comedy', 'Thriller Mystery Thriller', 'Contemporary', 'Adult']",0,United States,https://www.goodreads.com//book/show/6424.Seven_Up
162,Siege and Storm,Leigh Bardugo,253224,27510,3.93,435,2013,True,"['Fantasy', 'Young Adult', 'Romance', 'Young Adult Young Adult Fantasy', 'Fantasy Magic', 'Fiction', 'Fantasy High Fantasy', 'Adventure', 'Audiobook', 'Fantasy Paranormal']",1,,https://www.goodreads.com//book/show/14061955-siege-and-storm
